dataAvgSalary62k,Location,Headquarters,Size,Type_of_ownership,Industry,Sector,Revenue,Rating_range,Found_year_range
higher_than_avg,"Charlotte,_NC","Charlotte,_NC",1001_to_5000_employees,Company___Public,Insurance_Carriers,Insurance,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
lower_than_avg,"Charlotte,_NC","Charlotte,_NC",1001_to_5000_employees,Company___Public,Insurance_Carriers,Insurance,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
higher_than_avg,"San_Francisco,_CA","Herndon,_VA",1_to_50_employees,Company___Private,IT_Services,Information_Technology,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
higher_than_avg,"Los_Angeles,_CA","Atlanta,_GA",1_to_50_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
higher_than_avg,"Dallas,_TX","Dallas,_TX",501_to_1000_employees,Company___Private,Health_Care_Services_&_Hospitals,Health_Care,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
lower_than_avg,"Dallas,_TX","Dallas,_TX",501_to_1000_employees,Company___Private,Health_Care_Services_&_Hospitals,Health_Care,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
lower_than_avg,"Dallas,_TX","Dallas,_TX",501_to_1000_employees,Company___Private,Health_Care_Services_&_Hospitals,Health_Care,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
lower_than_avg,"Fort_Washington,_PA","Chicago,_IL",201_to_500_employees,Company___Private,Real_Estate,Real_Estate,Unknown_/_Non_Applicable,Rate[3.0_3.4],Founded_2015_2019
higher_than_avg,"Tempe,_AZ","Orlando,_FL",1001_to_5000_employees,Company___Private,Biotech_&_Pharmaceuticals,Biotech_&_Pharmaceuticals,Unknown_/_Non_Applicable,Rate[2.5_2.9,Founded_2015_2019
lower_than_avg,"Los_Angeles,_CA","Los_Angeles,_CA",51_to_200_employees,Company___Public,_1,_1,$5_to_$10_million_(USD),_1,Founded_2015_2019
higher_than_avg,"San_Francisco,_CA","San_Francisco,_CA",1_to_50_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2015_2019
higher_than_avg,"New_York,_NY","Santa_Monica,_CA",51_to_200_employees,Company___Private,_1,_1,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2015_2019
higher_than_avg,"Mountain_View,_CA","Mountain_View,_CA",51_to_200_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2015_2019
higher_than_avg,"Palo_Alto,_CA","Santa_Clara,_CA",51_to_200_employees,Company___Private,IT_Services,Information_Technology,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2015_2019
higher_than_avg,"Austin,_TX","Santa_Clara,_CA",51_to_200_employees,Company___Private,IT_Services,Information_Technology,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2015_2019
lower_than_avg,"San_Antonio,_TX","San_Antonio,_TX",1_to_50_employees,Company___Private,Computer_Hardware_&_Software,Information_Technology,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2015_2019
higher_than_avg,"Mountain_View,_CA","Mountain_View,_CA",201_to_500_employees,Company___Private,Computer_Hardware_&_Software,Information_Technology,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2015_2019
higher_than_avg,"Los_Angeles,_CA","Los_Angeles,_CA",1_to_50_employees,Company___Private,Banks_&_Credit_Unions,Finance,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2015_2019
higher_than_avg,"Foster_City,_CA","San_Francisco,_CA",51_to_200_employees,Company___Private,IT_Services,Information_Technology,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2015_2019
higher_than_avg,"Foster_City,_CA","San_Francisco,_CA",51_to_200_employees,Company___Private,IT_Services,Information_Technology,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2015_2019
lower_than_avg,"Los_Angeles,_CA","Los_Angeles,_CA",51_to_200_employees,Company___Private,"Health,_Beauty,_&_Fitness",Consumer_Services,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2015_2019
higher_than_avg,"San_Francisco,_CA","San_Francisco,_CA",501_to_1000_employees,Company___Private,Computer_Hardware_&_Software,Information_Technology,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2015_2019
lower_than_avg,"Austin,_TX","Los_Angeles,_CA",1001_to_5000_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
lower_than_avg,"Culver_City,_CA","Los_Angeles,_CA",1001_to_5000_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
lower_than_avg,"Los_Angeles,_CA","Los_Angeles,_CA",1001_to_5000_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
higher_than_avg,"Los_Angeles,_CA","Los_Angeles,_CA",1001_to_5000_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
higher_than_avg,"Los_Angeles,_CA","Los_Angeles,_CA",1_to_50_employees,Company___Public,Real_Estate,Real_Estate,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
lower_than_avg,"Los_Angeles,_CA","Los_Angeles,_CA",1_to_50_employees,Company___Public,Real_Estate,Real_Estate,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
higher_than_avg,"Redmond,_WA","Hyderabad,_India",1001_to_5000_employees,Company___Private,Computer_Hardware_&_Software,Information_Technology,$100_to_$500_million_(USD),Rate[3.5_3.9],Founded_2015_2019
higher_than_avg,"Charlotte,_NC","Plano,_TX",501_to_1000_employees,Company___Private,IT_Services,Information_Technology,$50_to_$100_million_(USD),Rate[3.5_3.9],Founded_2015_2019
lower_than_avg,"Jersey_City,_NJ","Phoenix,_AZ",1001_to_5000_employees,Company___Private,Brokerage_Services,Finance,$1_to_$5_million_(USD),Rate[3.0_3.4],Founded_2015_2019
higher_than_avg,"San_Francisco,_CA","San_Francisco,_CA",51_to_200_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,Unknown_/_Non_Applicable,Rate[3.0_3.4],Founded_2015_2019
higher_than_avg,"Norfolk,_VA","Reston,_VA",51_to_200_employees,Company___Private,Consulting,Business_Services,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2015_2019
lower_than_avg,"Norfolk,_VA","Reston,_VA",51_to_200_employees,Company___Private,Consulting,Business_Services,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2015_2019
lower_than_avg,"Dallas,_TX","Dallas,_TX",51_to_200_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2015_2019
higher_than_avg,"Los_Angeles,_CA","Los_Angeles,_CA",51_to_200_employees,Subsidiary_or_Business_Segment,Colleges_&_Universities,Education,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2015_2019
higher_than_avg,"Santa_Clara,_CA","Houston,_TX",51_to_200_employees,Company___Private,IT_Services,Information_Technology,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2015_2019
higher_than_avg,"Santa_Clara,_CA","Houston,_TX",51_to_200_employees,Company___Private,IT_Services,Information_Technology,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2015_2019
higher_than_avg,"Denver,_CO","Denver,_CO",51_to_200_employees,Company___Private,"Hotels,_Motels,_&_Resorts",Travel_&_Tourism,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2015_2019
higher_than_avg,"Austin,_TX","Gainesville,_VA",1_to_50_employees,Company___Private,Consulting,Business_Services,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
higher_than_avg,"Burlingame,_CA","Burlingame,_CA",1_to_50_employees,Company___Private,Computer_Hardware_&_Software,Information_Technology,$1_to_$5_million_(USD),Rate[3.5_3.9],Founded_2015_2019
lower_than_avg,"South_San_Francisco,_CA","Pleasant_Hill,_CA",51_to_200_employees,Company___Private,Research_&_Development,Business_Services,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
lower_than_avg,"Foster_City,_CA","Pleasant_Hill,_CA",51_to_200_employees,Company___Private,Research_&_Development,Business_Services,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
lower_than_avg,"New_York,_NY","New_York,_NY",51_to_200_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
