dataAvgSalary62k,Location,Headquarters,Size,Type_of_ownership,Industry,Sector,Revenue,Rating_range,Found_year_range
higher-than-avg,"Los Angeles, CA","Atlanta, GA",1 to 50 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
higher-than-avg,"Dallas, TX","Dallas, TX",501 to 1000 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
lower-than-avg,"Dallas, TX","Dallas, TX",501 to 1000 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
lower-than-avg,"Dallas, TX","Dallas, TX",501 to 1000 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
lower-than-avg,"Fort Washington, PA","Chicago, IL",201 to 500 employees,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,Rate[3.0-3.4],Founded 2015-2019
higher-than-avg,"Tempe, AZ","Orlando, FL",1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Rate[2.5-2.9,Founded 2015-2019
lower-than-avg,"Los Angeles, CA","Los Angeles, CA",51 to 200 employees,Company - Public,-1,-1,$5 to $10 million (USD),-1,Founded 2015-2019
higher-than-avg,"San Francisco, CA","San Francisco, CA",1 to 50 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2015-2019
higher-than-avg,"New York, NY","Santa Monica, CA",51 to 200 employees,Company - Private,-1,-1,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2015-2019
higher-than-avg,"Mountain View, CA","Mountain View, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2015-2019
higher-than-avg,"Palo Alto, CA","Santa Clara, CA",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2015-2019
higher-than-avg,"Austin, TX","Santa Clara, CA",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2015-2019
lower-than-avg,"San Antonio, TX","San Antonio, TX",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2015-2019
higher-than-avg,"Mountain View, CA","Mountain View, CA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2015-2019
higher-than-avg,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2015-2019
higher-than-avg,"Foster City, CA","San Francisco, CA",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2015-2019
higher-than-avg,"Foster City, CA","San Francisco, CA",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2015-2019
lower-than-avg,"Los Angeles, CA","Los Angeles, CA",51 to 200 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2015-2019
higher-than-avg,"San Francisco, CA","San Francisco, CA",501 to 1000 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2015-2019
lower-than-avg,"Austin, TX","Los Angeles, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
lower-than-avg,"Culver City, CA","Los Angeles, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
lower-than-avg,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
higher-than-avg,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
higher-than-avg,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
lower-than-avg,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
higher-than-avg,"Redmond, WA","Hyderabad, India",1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),Rate[3.5-3.9],Founded 2015-2019
higher-than-avg,"Charlotte, NC","Plano, TX",501 to 1000 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),Rate[3.5-3.9],Founded 2015-2019
lower-than-avg,"Jersey City, NJ","Phoenix, AZ",1001 to 5000 employees,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),Rate[3.0-3.4],Founded 2015-2019
higher-than-avg,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Rate[3.0-3.4],Founded 2015-2019
higher-than-avg,"Norfolk, VA","Reston, VA",51 to 200 employees,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2015-2019
lower-than-avg,"Norfolk, VA","Reston, VA",51 to 200 employees,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2015-2019
lower-than-avg,"Dallas, TX","Dallas, TX",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2015-2019
higher-than-avg,"Los Angeles, CA","Los Angeles, CA",51 to 200 employees,Subsidiary or Business Segment,Colleges & Universities,Education,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2015-2019
