Location = Location,Headquarters = Headquarters,Size,Type of ownership,Industry,Sector,Revenue,Easy Apply,Rating range,Found year range,Senior,Competitors,Compare to avg salary 62k
"Location = Los Angeles, CA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Seattle, WA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Charlotte, NC","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Charlotte, NC","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Wilmington, DE","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Charlotte, NC","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Houston, TX","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = San Francisco, CA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Hampton, VA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Hampton, VA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Hampton, VA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Chicago, IL","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Austin, TX","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Austin, TX","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = New York, NY","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Philadelphia, PA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Jacksonville, FL","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Jacksonville, FL","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Jacksonville, FL","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Philadelphia, PA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Los Angeles, CA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = San Antonio, TX","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Seattle, WA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Seattle, WA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Los Angeles, CA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Austin, TX","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Indianapolis, IN","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Indianapolis, IN","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Indianapolis, IN","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Athens, GA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Athens, GA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Athens, GA","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Gainesville, FL","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Gainesville, FL","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Gainesville, FL","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Gainesville, FL","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Dallas, TX","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Columbus, OH","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Columbus, OH","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Columbus, OH","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Dallas, TX","Headquarters = Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Whippany, NJ","Headquarters = Rochester, NY",501 to 1000 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = Rochester, NY",501 to 1000 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Brooklyn, NY","Headquarters = Rochester, NY",501 to 1000 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsSenior,-1,salary_higher_than_avg
"Location = Scottsdale, AZ","Headquarters = Rochester, NY",501 to 1000 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Chicago, IL","Headquarters = Rochester, NY",501 to 1000 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Columbus, OH","Headquarters = Rochester, NY",501 to 1000 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Dublin, OH","Headquarters = Columbus, OH",1 to 50 employees,Private Practice / Firm,IT Services,Information Technology,$1 to $5 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Addison, TX","Headquarters = San Antonio, TX",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,-1,-1,Rate[4.0-4.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = New York, NY",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,Rate[4.0-4.4],Founded 2005-2009,IsSenior,-1,salary_lower_than_avg
"Location = New York, NY","Headquarters = New Brunswick, NJ",201 to 500 employees,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,Rate[4.0-4.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Dallas, TX","Headquarters = Sugar Land, TX",1 to 50 employees,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,Rate[4.0-4.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Plano, TX","Headquarters = New Brunswick, NJ",201 to 500 employees,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,Rate[4.0-4.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = San Francisco, CA","Headquarters = San Francisco, CA",201 to 500 employees,Company - Private,Internet,Information Technology,-1,Easy Apply,Rate[4.0-4.4],Founded 2005-2009,IsSenior,-1,salary_higher_than_avg
"Location = Austin, TX","Headquarters = San Francisco, CA",201 to 500 employees,Company - Private,Internet,Information Technology,-1,-1,Rate[4.0-4.4],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Denver, CO","Headquarters = San Francisco, CA",1001 to 5000 employees,Company - Public,Internet,Information Technology,$1 to $2 billion (USD),Easy Apply,Rate[4.0-4.4],Founded 2005-2009,IsSenior,-1,salary_lower_than_avg
"Location = San Francisco, CA","Headquarters = San Francisco, CA",51 to 200 employees,Company - Public,Internet,Information Technology,-1,Easy Apply,Rate[3.5-3.9],Founded 2005-2009,IsSenior,-1,salary_higher_than_avg
"Location = San Mateo, CA","Headquarters = San Mateo, CA",51 to 200 employees,Company - Private,Education Training Services,Education,$5 to $10 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = Santa Clara, CA",201 to 500 employees,Company - Public,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = King of Prussia, PA","Headquarters = King of Prussia, PA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,"DrugDev , Bracket, Bioclinica",salary_lower_than_avg
"Location = New York, NY","Headquarters = Lanham, MD",1001 to 5000 employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),Easy Apply,Rate[3.5-3.9],Founded 2005-2009,IsSenior,-1,salary_lower_than_avg
"Location = Seattle, WA","Headquarters = Burnsville, MN",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Fort Lee, NJ","Headquarters = Fort Lee, NJ",201 to 500 employees,Company - Private,Banks & Credit Unions,Finance,$50 to $100 million (USD),-1,Rate[3.0-3.4],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Houston, TX","Headquarters = Orlando, FL",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Santa Monica, CA","Headquarters = Santa Monica, CA",51 to 200 employees,Company - Private,Video Games,Media,-1,-1,Rate[4.5-5.0],Founded 2005-2009,IsSenior,-1,salary_higher_than_avg
"Location = Santa Monica, CA","Headquarters = Santa Monica, CA",51 to 200 employees,Company - Private,Video Games,Media,-1,-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Berkeley, CA","Headquarters = Berkeley, CA",51 to 200 employees,Company - Private,Investment Banking & Asset Management,Finance,-1,-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Marin City, CA","Headquarters = Marin City, CA",1 to 50 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Menlo Park, CA","Headquarters = Pleasanton, CA",201 to 500 employees,Company - Private,Internet,Information Technology,-1,-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Menlo Park, CA","Headquarters = Pleasanton, CA",201 to 500 employees,Company - Private,Internet,Information Technology,-1,-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = San Francisco, CA","Headquarters = Alpharetta, GA",5001 to 10000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,Rate[4.0-4.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Mesa, AZ","Headquarters = Fremont, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,-1,-1,Rate[4.0-4.4],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Austin, TX","Headquarters = San Francisco, CA",1001 to 5000 employees,Company - Public,Video Games,Media,$500 million to $1 billion (USD),-1,Rate[4.0-4.4],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Tempe, AZ","Headquarters = Tempe, AZ",51 to 200 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Santa Monica, CA","Headquarters = Santa Monica, CA",1001 to 5000 employees,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsSenior,"Netflix, Amazon, Apple",salary_lower_than_avg
"Location = Chicago, IL","Headquarters = Kennesaw, GA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Berwyn, PA","Headquarters = Schaffhausen, Switzerland",10000+ employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = New York, NY",501 to 1000 employees,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),Easy Apply,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,"Criteo, AppNexus, dataxu",salary_higher_than_avg
"Location = Chicago, IL","Headquarters = KIRKLAND, Canada",51 to 200 employees,-1,-1,-1,Less than $1 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = South San Francisco, CA","Headquarters = Faridabad, India",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,-1,-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Denver, CO","Headquarters = Lake Success, NY",10000+ employees,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,"BNY Mellon, DTCC, Computershare",salary_higher_than_avg
"Location = Denver, CO","Headquarters = Denver, CO",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Austin, TX","Headquarters = Austin, TX",1 to 50 employees,Company - Private,Membership Organizations,Business Services,$5 to $10 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Austin, TX","Headquarters = Austin, TX",1 to 50 employees,Company - Private,Membership Organizations,Business Services,$5 to $10 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = New York, NY","Headquarters = Washington, DC",1001 to 5000 employees,Nonprofit Organization,Brokerage Services,Finance,$500 million to $1 billion (USD),-1,Rate[3.0-3.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = San Francisco, CA","Headquarters = San Francisco, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,-1,-1,Rate[3.0-3.4],Founded 2005-2009,IsNotSenior,"UserZoom, Validately",salary_higher_than_avg
"Location = San Francisco, CA","Headquarters = Somerset, NJ",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,Rate[3.0-3.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Richardson, TX","Headquarters = Somerset, NJ",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,Rate[3.0-3.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Richardson, TX","Headquarters = Somerset, NJ",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,Rate[3.0-3.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Northbrook, IL","Headquarters = Somerset, NJ",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,Rate[3.0-3.4],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Louisville, CO","Headquarters = Louisville, CO",51 to 200 employees,Company - Private,Health Care Products Manufacturing,Manufacturing,$25 to $50 million (USD),-1,Rate[3.0-3.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Grapevine, TX","Headquarters = Plano, TX",51 to 200 employees,Company - Private,Consulting,Business Services,-1,-1,Rate[3.0-3.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = King of Prussia, PA","Headquarters = Nashville, TN",10000+ employees,Company - Public,IT Services,Information Technology,-1,-1,Rate[2.5-2.9,Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Stafford, TX","Headquarters = Stafford, TX",51 to 200 employees,Company - Private,Consumer Products Manufacturing,Manufacturing,-1,-1,Rate[2.5-2.9,Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Fort Worth, TX","Headquarters = Tulsa, OK",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,-1,-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology,-1,-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Cupertino, CA","Headquarters = Acton, MA",1 to 50 employees,Company - Private,Consulting,Business Services,Less than $1 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Redwood City, CA","Headquarters = Redwood City, CA",201 to 500 employees,Company - Private,Colleges & Universities,Education,-1,Easy Apply,Rate[4.5-5.0],Founded 2005-2009,IsSenior,"Chegg, StudyBlue",salary_higher_than_avg
"Location = Seattle, WA","Headquarters = Frisco, TX",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,Rate[4.5-5.0],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Mount Vernon, NY","Headquarters = Mosta, Malta",1 to 50 employees,Company - Private,Consulting,Business Services,-1,-1,Rate[4.0-4.4],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Charlotte, NC","Headquarters = Fremont, CA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,Rate[4.0-4.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = San Francisco, CA","Headquarters = San Francisco, CA",1001 to 5000 employees,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),-1,Rate[4.0-4.4],Founded 2005-2009,IsSenior,"Facebook, Google, Pinterest",salary_higher_than_avg
"Location = San Francisco, CA","Headquarters = San Francisco, CA",1001 to 5000 employees,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),-1,Rate[4.0-4.4],Founded 2005-2009,IsNotSenior,"Facebook, Google, Pinterest",salary_higher_than_avg
"Location = Salt Lake City, UT","Headquarters = Santa Clara, CA",201 to 500 employees,Company - Private,Accounting,Accounting & Legal,$25 to $50 million (USD),-1,Rate[4.0-4.4],Founded 2005-2009,IsSenior,-1,salary_lower_than_avg
"Location = Santa Clara, CA","Headquarters = Santa Clara, CA",201 to 500 employees,Company - Private,Accounting,Accounting & Legal,$25 to $50 million (USD),-1,Rate[4.0-4.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Menlo Park, CA","Headquarters = Chicago, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,"Insight Global, Pyramid Consulting, MATRIX Resources",salary_higher_than_avg
"Location = Menlo Park, CA","Headquarters = Chicago, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,"Insight Global, Pyramid Consulting, MATRIX Resources",salary_higher_than_avg
"Location = Austin, TX","Headquarters = Reston, VA",501 to 1000 employees,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,"Attain, Deloitte, Booz Allen Hamilton",salary_lower_than_avg
"Location = San Diego, CA","Headquarters = San Diego, CA",1001 to 5000 employees,Company - Public,Health Care Products Manufacturing,Manufacturing,$50 to $100 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = San Francisco, CA","Headquarters = South Windsor, CT",201 to 500 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Palo Alto, CA","Headquarters = Palo Alto, CA",501 to 1000 employees,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsSenior,-1,salary_higher_than_avg
"Location = San Rafael, CA","Headquarters = San Rafael, CA",51 to 200 employees,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Glendale, CA","Headquarters = Houston, TX",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Irving, TX","Headquarters = Atlanta, GA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Wayne, PA","Headquarters = Houston, TX",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = Los Angeles, CA","Headquarters = Houston, TX",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,Rate[3.5-3.9],Founded 2005-2009,IsNotSenior,-1,salary_lower_than_avg
"Location = San Jose, CA","Headquarters = Santa Clara, CA",51 to 200 employees,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,Rate[3.0-3.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Denver, CO","Headquarters = Chantilly, VA",201 to 500 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,Rate[3.0-3.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Austin, TX","Headquarters = Amsterdam, Netherlands",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1,Rate[3.0-3.4],Founded 2005-2009,IsNotSenior,-1,salary_higher_than_avg
"Location = Charlotte, NC","Headquarters = Charlotte, NC",1001 to 5000 employees,Company - Private,Automotive Parts & Accessories Stores,Retail,$2 to $5 billion (USD),-1,Rate[1.5-1.9],Founded 2005-2009,IsSenior,"Midas, Monro Auto Service and Tire Centers",salary_higher_than_avg
